ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
600036.SH,20200102,38.03,39.12,38.02,38.88,37.58,1.3,3.4593,826244.52,3191180.65
600036.SH,20200103,38.95,39.62,38.92,39.4,38.88,0.52,1.3374,520106.11,2045230.273
600036.SH,20200106,39.19,40.16,38.9,39.24,39.4,-0.16,-0.4061,548877.2,2171575.505
600036.SH,20200107,39.55,39.94,39.1,39.15,39.24,-0.09,-0.2294,347671.28,1369304.771
600036.SH,20200108,38.95,38.95,38.41,38.41,39.15,-0.74,-1.8902,363234.18,1403861.101
600036.SH,20200109,38.84,39.0,38.58,38.9,38.41,0.49,1.2757,303359.89,1177003.661
600036.SH,20200110,38.9,39.28,38.75,39.04,38.9,0.14,0.3599,285931.21,1116903.172
600036.SH,20200113,39.28,39.28,38.75,39.1,39.04,0.06,0.1537,327808.52,1279073.028
600036.SH,20200114,39.14,39.63,38.7,38.81,39.1,-0.29,-0.7417,335646.38,1314430.602
600036.SH,20200115,38.84,38.89,38.02,38.12,38.81,-0.69,-1.7779,488598.91,1870048.774
600036.SH,20200116,38.22,38.35,37.76,37.96,38.12,-0.16,-0.4197,453848.26,1723277.982
600036.SH,20200117,38.06,38.17,37.68,37.93,37.96,-0.03,-0.079,421357.11,1595789.849
600036.SH,20200120,38.22,38.65,38.0,38.31,37.93,0.38,1.0018,585808.86,2244268.938
600036.SH,20200121,37.95,38.15,37.7,37.79,38.31,-0.52,-1.3573,417201.85,1580332.561
600036.SH,20200122,37.7,38.1,37.15,37.82,37.79,0.03,0.0794,531254.6,2000618.547
600036.SH,20200123,37.53,37.7,36.45,36.81,37.82,-1.01,-2.6705,787502.74,2912304.571
600036.SH,20200203,33.8,35.5,33.8,35.03,36.81,-1.78,-4.8356,1131062.26,3944795.003
600036.SH,20200204,35.04,35.48,34.68,35.35,35.03,0.32,0.9135,1229676.52,4313054.347
600036.SH,20200205,35.34,35.51,34.83,35.36,35.35,0.01,0.0283,802571.98,2826862.599
600036.SH,20200206,35.5,35.83,35.13,35.75,35.36,0.39,1.1029,730701.59,2589474.707
600036.SH,20200207,35.1,35.46,35.01,35.42,35.75,-0.33,-0.9231,675524.64,2374190.018
600036.SH,20200210,35.13,35.24,34.95,35.1,35.42,-0.32,-0.9034,575041.78,2016401.93
600036.SH,20200211,35.3,35.85,35.15,35.57,35.1,0.47,1.339,557436.28,1983770.029
600036.SH,20200212,35.5,35.66,35.24,35.6,35.57,0.03,0.0843,405389.73,1437177.997
600036.SH,20200213,35.53,35.55,35.2,35.27,35.6,-0.33,-0.927,422350.8,1493775.789
600036.SH,20200214,35.21,35.71,35.21,35.64,35.27,0.37,1.0491,403396.77,1431806.484
600036.SH,20200217,35.63,36.17,35.38,36.17,35.64,0.53,1.4871,669425.41,2396661.832
600036.SH,20200218,36.0,36.0,35.6,35.7,36.17,-0.47,-1.2994,516396.65,1846260.235
600036.SH,20200219,35.6,35.89,35.46,35.53,35.7,-0.17,-0.4762,419521.31,1496142.157
600036.SH,20200220,35.66,36.05,35.2,35.98,35.53,0.45,1.2665,746005.88,2658121.245
600036.SH,20200221,35.9,35.93,35.47,35.64,35.98,-0.34,-0.945,730314.68,2603112.503
600036.SH,20200224,35.49,35.69,35.03,35.05,35.64,-0.59,-1.6554,798564.82,2812039.823
600036.SH,20200225,34.81,35.08,34.5,34.63,35.05,-0.42,-1.1983,873734.32,3032212.325
600036.SH,20200226,34.41,34.99,34.25,34.83,34.63,0.2,0.5775,779704.75,2707591.83
600036.SH,20200227,34.79,35.35,34.7,35.22,34.83,0.39,1.1197,689378.53,2422074.087
600036.SH,20200228,34.85,35.18,34.2,34.2,35.22,-1.02,-2.8961,835340.97,2885398.352
600036.SH,20200302,34.24,34.88,34.1,34.75,34.2,0.55,1.6082,704290.63,2438029.173
600036.SH,20200303,34.93,35.1,34.42,34.62,34.75,-0.13,-0.3741,686073.06,2380418.31
600036.SH,20200304,34.68,34.8,34.44,34.78,34.62,0.16,0.4622,560886.06,1941800.19
600036.SH,20200305,34.99,36.32,34.8,36.23,34.78,1.45,4.1691,1355413.0,4840609.026
